TaxaName	RecNum	Phylum	Class	Order	Family	Genus	GroupCoarse	GroupFine	Species	ID level	Origin	IntroSource	CommonName	AlternateNames	ITIS_Accepted_Name	ITIS_URL	COL_Accepted_Name	COL_URL	Ref_GL_occurrence	Erie	Huron	Michigan	Ontario	Superior	St. Mary's River	Huron Erie Corridor	Niagara River	Ref_location	Notes	Benthic	Littoral	Limnetic	Lakes_Proper	Tribs/Wetlands	Aerial/ Terrestrial	BOLD_link	Other_Genetic_Info	NatHistory_source	NatHistory_link	nasID
Actinocyclus normanii	47	Ochrophyta	Bacillariophyceae	Coscinodiscales	Hemidiscaceae	Actinocyclus	diatom	eucentric	Actinocyclus normanii	Species	Introduced	Baltic Sea		"Actinocyclus normanii fo. subsalsa (aka Coscinodiscus radiatus, C. subsalsa, C. subtilis)"	Actinocyclus normanii (W. Greg.) Hust.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2661	Actinocyclus normanii	http://www.catalogueoflife.org/col/details/species/id/8bbb1ed35241b7c391a63a89bb6a869d	Prescott 1962; Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	x	1					Algaebase - Actinocyclus normanii (W.Gregory ex Greville) Hustedt : http://www.algaebase.org/search/species/detail/?species_id=32943; Habitat - ; Other notes - 				x						NA	NA
Bangia atropurpurea 	176	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Bangia	red algae	attached filaments	Bangia atropurpurea 	Species	Introduced	Atlantic coast		Bangia fusco-purpurea	Bangia fusco-purpurea (Dillwyn) Lyngbye	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=11534			GLANSIS; 	x	x	x	x	x					"Algaebase - Bangia atropurpurea (Mertens ex Roth) C.Agardh : http://www.algaebase.org/search/species/detail/?species_id=1436; Habitat - ; Other notes - unbranched filaments in tufts. Often forming dense fringes in the splash zone. Uniseriate at base, multiseriate above with protoplasts separate in a firm gelatinous sheath. Stellate chloroplasts."		x					http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Bangia+atropurpurea+			NA	NA
Chaetoceros muelleri var. subsalsum 	291	Ochrophyta	Bacillariophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	diatom	eccentric spined	Chaetoceros muelleri var. subsalsum 	Species	Introduced	Europe			Chaetoceros muelleri var. subsalsus (Lemmermann) J.R. Johansen and Rushforth	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1004084			Stoermer et al 1999; GLANSIS; 		x								Algaebase - Chaetoceros muelleri Lemmermann: http://www.algaebase.org/search/species/detail/?species_id=31161; Habitat - ; Other notes - 										NA	NA
Chroodactylon ornatum	381	Rhodophyta	Stylonematophyceae	Stylonematales	Stylonemataceae	Chroodactylon	red algae	attached filaments	Chroodactylon ornatum	Species	Introduced	Atlantic coast		Originally as Chroodactylon ramosum 	species not found				GLANSIS; 	x	x		x			x			Algaebase - Chroodactylon ornatum (C.Agardh) Basson: http://www.algaebase.org/search/species/detail/?species_id=338; Habitat - ; Other notes - filamentous. Often found with larger filaments.							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Chroodactylon+ornatum			NA	NA
Conticribra guillardii	444	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	diatom	eucentric	Conticribra guillardii	Species	Introduced	Atlantic coast		Thalassiosira guillardii 	Thalassiosira guillardii Hasle 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2514			Stoermer et al 1999; GLANSIS; 	x									Algaebase - Conticribra guillardii (Hasle) K.Stachura-Suchoples & D.M.Williams: http://www.algaebase.org/search/species/detail/?species_id=136537; Habitat - ; Other notes - 										NA	NA
Cyclotella atomus 	508	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Cyclotella	diatom	eucentric	Cyclotella atomus 	Species	Introduced	Unknown			Cyclotella atomus Hust. 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2457	Cyclotella atomus	http://www.catalogueoflife.org/col/details/species/id/e8282acc0a6bd8f52061feb98a53a4b6	Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	1	1					Algaebase - Cyclotella atomus Hustedt: http://www.algaebase.org/search/species/detail/?species_id=32142; Habitat - ; Other notes - 				x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Cyclotella+atomus+			NA	NA
Cyclotella cryptica 	516	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Cyclotella	diatom	eucentric	Cyclotella cryptica 	Species	Introduced	Unknown			"Cyclotella cryptica Reimann, Lewin & Guillard"	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2469	Cyclotella cryptica	http://www.catalogueoflife.org/col/details/species/id/10ad09db6bd9bcad6aa10d3bbbfa534c	Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; 	x	x	x	x						"Algaebase - Cyclotella cryptica Reimann, J.C.Lewin & Guillard: http://www.algaebase.org/search/species/detail/?species_id=50190; Habitat - ; Other notes - "							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Cyclotella+cryptica+			NA	NA
Cylindrospermopsis raciborski	542	Cyanobacteria	Cyanophyceae	Nostocales	Nostocaceae	Cylindrospermopsis	blue-green	filamentous	Cylindrospermopsis raciborski	Species	Introduced	South America		Raphidiopsis raciborskii 	Cylindrospermopsis raciborskii (Wolosz.) Seena. and Subbar. 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=203690			Prescott 1962; GLANSIS; 	x		x							"Algaebase - Raphidiopsis raciborskii (Woloszynska) Aguilera, Berrendero Gómez, Kastovsky, Echenique & Salerno: http://www.algaebase.org/search/species/detail/?species_id=167897; Habitat - ; Other notes - Similar to Aphanizomenon, but filaments tend to be single rather than in packets and with less tendency to form surface scums.  Some strains may produce toxins (cylindrospermopsin, saxitoxins, and lipopolysaccharides)"										NA	NA
Diatoma ehrenbergii 	634	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma	diatom	irregular non-mucilaginous colony	Diatoma ehrenbergii 	Species	Introduced	Unknown			Diatoma ehrenbergii Kütz. 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591295	Diatoma ehrenbergii	http://www.catalogueoflife.org/col/details/species/id/b3e42e6b59b32e81eed5d71e57cb989a	Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; 		x	x	x						"Algaebase - Diatoma ehrenbergii Kützing : http://www.algaebase.org/search/species/detail/?species_id=35890; Habitat - ; Other notes - Cells occur in zig-zag or straight filaments, formed by mucilage"										NA	NA
Discostella pseudostelligera	685	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Discostella	diatom	eucentric	Discostella pseudostelligera	Species	Introduced	Unknown		Cyclotella pseudostelligera	Cyclotella pseudostelligera Hust. 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2481			Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	1	1					Algaebase - Discostella pseudostelligera (Hustedt) Houk & Klee: http://www.algaebase.org/search/species/detail/?species_id=129819; Habitat - ; Other notes - 				x						NA	NA
